1.0000000000e-03 0.003894% 3.2752794855e-02 6.5508140285e-02 2.5505749361e-06 5.8508235472e-03 0.002610% 2.3171407271e-01 4.6344024073e-01 1.2095319063e-05 3.2464283197e-02 -0.082528% 5.0746252101e-01 1.0140881325e+00 -8.3690950184e-04 8.6605614436e-01 7.9942060933e-01 7.9947934224e-01 7.0191731120e-01 7.0193584671e-01 7.0199179299e-01 4.6172817463e-01 4.6150435268e-01 4.6083016796e-01 4.5969737765e-01 1748 5 146
1.0964781961e-03 0.004065% 3.5923476960e-02 7.1849874484e-02 2.9205639588e-06 6.4242983015e-03 0.002635% 2.5404619025e-01 5.0810576879e-01 1.3388285143e-05 3.5562554498e-02 -0.086192% 5.5600921825e-01 1.1110607893e+00 -9.5764718286e-04 8.6596381943e-01 7.9935624599e-01 7.9941752785e-01 7.0175894280e-01 7.0177762207e-01 7.0183401120e-01 4.6191860910e-01 4.6168553198e-01 4.6098335484e-01 4.5980314340e-01 1246 3 108
1.2022644346e-03 0.004243% 3.9401481111e-02 7.8806306022e-02 3.3437995154e-06 7.0543909150e-03 0.002653% 2.7852493052e-01 5.5706463799e-01 1.4776944726e-05 3.8954790908e-02 -0.090020% 6.0913237373e-01 1.2171690558e+00 -1.0956916636e-03 8.6586738215e-01 7.9928893335e-01 7.9935286278e-01 7.0159372072e-01 7.0161248918e-01 7.0166915587e-01 4.6211715928e-01 4.6187450602e-01 4.6114335639e-01 4.5991403200e-01 1092 3 102
1.3182567386e-03 0.004428% 4.3216632560e-02 8.6437092981e-02 3.8278606266e-06 7.7467461799e-03 0.002662% 3.0535529456e-01 6.1072684628e-01 1.6257154608e-05 4.2668632879e-02 -0.094019% 6.6724869358e-01 1.3332438808e+00 -1.2535063368e-03 8.6576666227e-01 7.9921854125e-01 7.9928521940e-01 7.0142137916e-01 7.0144017493e-01 7.0149693156e-01 4.6232412807e-01 4.6207157245e-01 4.6131045351e-01 4.6003029279e-01 1102 3 102
1.4454397707e-03 0.004621% 4.7401653169e-02 9.4807687726e-02 4.3813892344e-06 8.5075788887e-03 0.002662% 3.3476156119e-01 6.6954094307e-01 1.7820699770e-05 4.6734283170e-02 -0.098200% 7.3080973175e-01 1.4601855604e+00 -1.4339031439e-03 8.6566148312e-01 7.9914493398e-01 7.9921446447e-01 7.0124164362e-01 7.0126039689e-01 7.0131703158e-01 4.6253982706e-01 4.6227703806e-01 4.6148493750e-01 4.6015218760e-01 1158 3 108
1.5848931925e-03 0.004822% 5.1992442210e-02 1.0398989865e-01 5.0142351652e-06 9.3437321898e-03 0.002650% 3.6698903349e-01 7.3399752101e-01 1.9454021829e-05 5.1184739360e-02 -0.102572% 8.0030415302e-01 1.5989682149e+00 -1.6400911455e-03 8.6555166207e-01 7.9906797053e-01 7.9914045934e-01 7.0105423193e-01 7.0107286437e-01 7.0112913894e-01 4.6276457511e-01 4.6249121752e-01 4.6166710931e-01 4.6027999070e-01 1097 3 102
1.7378008287e-03 0.005030% 5.7028384244e-02 1.1406250611e-01 5.7376215209e-06 1.0262742063e-02 0.002627% 4.0230592931e-01 8.0463299526e-01 2.1136640526e-05 5.6056046450e-02 -0.107145% 8.7626000472e-01 1.7506442773e+00 -1.8757321869e-03 8.6543701048e-01 7.9898750435e-01 7.9906305969e-01 7.0085885441e-01 7.0087727837e-01 7.0093292616e-01 4.6299869816e-01 4.6271443321e-01 4.6185727957e-01 4.6041398930e-01 927 3 90
1.9054607180e-03 0.005247% 6.2552686303e-02 1.2511193694e-01 6.5643320282e-06 1.1272908388e-02 0.002589% 4.4100542283e-01 8.8203368480e-01 2.2839141338e-05 6.1387571573e-02 -0.111932% 9.5924695156e-01 1.9163488995e+00 -2.1450035890e-03 8.6531733396e-01 7.9890338326e-01 7.9898211539e-01 7.0065521468e-01 7.0067333250e-01 7.0072805593e-01 4.6324252806e-01 4.6294701425e-01 4.6205576810e-01 4.6055448386e-01 1015 3 96
2.0892961309e-03 0.005472% 6.8612758077e-02 1.3723302506e-01 7.5089085836e-06 1.2383378408e-02 0.002536% 4.8340790274e-01 9.6684032749e-01 2.4522015468e-05 6.7222299296e-02 -0.116945% 1.0498786494e+00 2.0973046163e+00 -2.4526825503e-03 8.6519242081e-01 7.9881544787e-01 7.9889746878e-01 7.0044298372e-01 7.0046068781e-01 7.0051415864e-01 4.6349642802e-01 4.6318932052e-01 4.6226292363e-01 4.6070180041e-01 1272 4 128
2.2908676528e-03 0.005705% 7.5260579824e-02 1.5052974759e-01 8.5879428796e-06 1.3604216193e-02 0.002465% 5.2986314997e-01 1.0597524281e+00 2.6128122687e-05 7.3607166583e-02 -0.122196% 1.1488140123e+00 2.2948238405e+00 -2.8041841013e-03 8.6506208405e-01 7.9872353638e-01 7.9880896001e-01 7.0022189536e-01 7.0023906494e-01 7.0029091437e-01 4.6376069878e-01 4.6344165430e-01 4.6247905196e-01 4.6085624715e-01 1310 4 128
2.5118864315e-03 0.005947% 8.2553197795e-02 1.6511621586e-01 9.8202738756e-06 1.4946522601e-02 0.002375% 5.8075315666e-01 1.1615338985e+00 2.7585224358e-05 8.0593399747e-02 -0.127702% 1.2567600793e+00 2.5103144449e+00 -3.2057136518e-03 8.6492610181e-01 7.9862747760e-01 7.9871641915e-01 6.9999161126e-01 7.0000811385e-01 7.0005793673e-01 4.6403571042e-01 4.6370438455e-01 4.6270451769e-01 4.6101817749e-01 1305 4 128
