1.0000000000e-03 -0.000780% 3.2462719598e-02 6.4924932617e-02 -5.0657997573e-07 6.3906380510e-03 -0.003076% 2.2629787711e-01 4.5258183058e-01 -1.3923642373e-05 2.4375174970e-02 0.018279% 5.5821169036e-01 1.1166274853e+00 2.0410457913e-04 8.4197968209e-01 7.7667601879e-01 7.7666458509e-01 6.7228229275e-01 6.7226130101e-01 6.7219850391e-01 4.9504483032e-01 4.9509851625e-01 4.9525930261e-01 4.9552637915e-01 1533 4 126
1.0964781961e-03 -0.000837% 3.5601366581e-02 7.1202136950e-02 -5.9621254283e-07 7.0118518207e-03 -0.003257% 2.4809454403e-01 4.9617292559e-01 -1.6162475534e-05 2.6717611448e-02 0.019536% 6.1156595131e-01 1.2233709056e+00 2.3900295900e-04 8.4194825349e-01 7.7666117139e-01 7.7664890723e-01 6.7222491411e-01 6.7220272699e-01 6.7213636679e-01 4.9508458806e-01 4.9514179665e-01 4.9531311471e-01 4.9559762410e-01 963 2 82
1.2022644346e-03 -0.000898% 3.9043954946e-02 7.8087208461e-02 -7.0143144136e-07 7.6938283912e-03 -0.003445% 2.7198554787e-01 5.4395235512e-01 -1.8740618069e-05 2.9284332294e-02 0.020871% 6.6996265916e-01 1.3402050390e+00 2.7972071119e-04 8.4191444961e-01 7.7664514527e-01 7.7663199624e-01 6.7216313622e-01 6.7213971505e-01 6.7206967824e-01 4.9512766433e-01 4.9518858230e-01 4.9537098796e-01 4.9567384249e-01 1452 3 123
1.3182567386e-03 -0.000963% 4.2819988063e-02 8.5639151241e-02 -8.2488588825e-07 8.4425732956e-03 -0.003640% 2.9817093573e-01 5.9632016725e-01 -2.1704208755e-05 3.2096664458e-02 0.022287% 7.3386637812e-01 1.4680599494e+00 3.2719311168e-04 8.4187811175e-01 7.7662785283e-01 7.7661376172e-01 6.7209665955e-01 6.7207196911e-01 6.7199815274e-01 4.9517431571e-01 4.9523913334e-01 4.9543319272e-01 4.9575532046e-01 1211 3 114
1.4454397707e-03 -0.001032% 4.6961846905e-02 9.3922724145e-02 -9.6966594461e-07 9.2646977459e-03 -0.003840% 3.2686961524e-01 6.5371412490e-01 -2.5105567387e-05 3.5177934106e-02 0.023789% 8.0378207747e-01 1.6079466639e+00 3.8250893809e-04 8.4183906306e-01 7.7660919812e-01 7.7659410477e-01 6.7202515063e-01 6.7199915875e-01 6.7192146931e-01 4.9522482539e-01 4.9529373761e-01 4.9550003039e-01 4.9584238057e-01 1171 3 111
1.5848931925e-03 -0.001106% 5.1505063399e-02 1.0300898743e-01 -1.1393654269e-06 1.0167477302e-02 -0.004047% 3.5832102834e-01 7.1661305506e-01 -2.9001621298e-05 3.8553653185e-02 0.025379% 8.8025795150e-01 1.7609628180e+00 4.4691497346e-04 8.4179712436e-01 7.7658908029e-01 7.7657292167e-01 6.7194827052e-01 6.7192095005e-01 6.7183930919e-01 4.9527949004e-01 4.9535269397e-01 4.9557180593e-01 4.9593533659e-01 1262 3 117
1.7378008287e-03 -0.001184% 5.6488633878e-02 1.1297592959e-01 -1.3381668939e-06 1.1158923127e-02 -0.004259% 3.9278703347e-01 7.8554061132e-01 -3.3455619848e-05 4.2251716235e-02 0.027063% 9.6388861839e-01 1.9282990898e+00 5.2185301869e-04 8.4175210300e-01 7.7656739086e-01 7.7655010095e-01 6.7186565498e-01 6.7183698408e-01 6.7175132953e-01 4.9533862914e-01 4.9541632409e-01 4.9564884718e-01 4.9603452519e-01 1207 3 116
1.9054607180e-03 -0.001268% 6.1955354730e-02 1.2390913853e-01 -1.5709303741e-06 1.2247856867e-02 -0.004475% 4.3055389641e-01 8.6106925620e-01 -3.8536613842e-05 4.6302617782e-02 0.028845% 1.0553182375e+00 2.1112454562e+00 6.0898110164e-04 8.4170379750e-01 7.7654401434e-01 7.7652552418e-01 6.7177692283e-01 6.7174688609e-01 6.7165717512e-01 4.9540258200e-01 4.9548496822e-01 4.9573149670e-01 4.9614029135e-01 1305 3 117
2.0892961309e-03 -0.001356% 6.7952193649e-02 1.3590254400e-01 -1.8432981716e-06 1.3443994900e-02 -0.004696% 4.7193445358e-01 9.4382458763e-01 -4.4319526533e-05 5.0739687139e-02 0.030729% 1.1552437375e+00 2.3111976796e+00 7.1020462737e-04 8.4165199671e-01 7.7651882773e-01 7.7649906544e-01 6.7168167434e-01 6.7165026396e-01 6.7155647667e-01 4.9547170931e-01 4.9555898667e-01 4.9582011330e-01 4.9625298992e-01 1277 3 114
2.2908676528e-03 -0.001450% 7.4530696460e-02 1.4905923111e-01 -2.1618143644e-06 1.4758041354e-02 -0.004919% 5.1727043864e-01 1.0344899923e+00 -5.0884958120e-05 5.5599343383e-02 0.032720% 1.2644180458e+00 2.5296638023e+00 8.2771062979e-04 8.4159647963e-01 7.7649170012e-01 7.7647059096e-01 6.7157949121e-01 6.7154670814e-01 6.7144885106e-01 4.9554639371e-01 4.9563876031e-01 4.9591507209e-01 4.9637298511e-01 1157 3 111
